SKILLS
"Python, Data Analysis, Machine Learning, Statistics, SQL, Communication, Leadership, Problem Solving"
"Core Java, Kafka, Spring Boot, Microservices, Development, Spring, Java, Core"
"Vue.Js, Shopify, React.Js, Leadership, Architecture, Development"
"amazon redshift, sql, docker, cloud, unix shell scripting, git, postgresql, spark"
"Excellent Verbal And Written Communication Skills, International Voice, International, Customer support, Communication Skills Written, Written communication, Communication skills, Voice"
"sap abap hana, idocs, sap abap development, sap hana, sap abap, bdc, data conversion, sap"
"Servicenow, ITSM, Servicenow Development, Development"
"Java, Springboot Java, Spring Boot, Boot, Java Development, Development, Senior, Spring"
"IBM Analytics, Ibm Cognos Tm1, Cognos Tm1, Reporting, Forecasting, Planning Analytics, Analytics, TM"
"SAP FICO, SAP CO, SAP FI, SAP, FICO, Co, Consulting, FI"
"Abap-Hr, Hana Abap, SAP, Sap Abap Hana, SAP ABAP, Immigration, Successfactors, Implementation And Integration Projects"
".Net, .Net Core, ASP.Net, Core, Hiring, Senior, Development"
"VXLAN, SDN controllers, NFV, SME, Control, Networking, Sdn"
"AWS Redshift, DBT, Data Warehousing, Postgresql, SQL, Amazon Redshift, Data, AWS"
"Market Risk, Model Validation, Model Building, Mutlifactor model, model governance, Risk management, Building, Governance"
"axway, Kong, Axway B2Bi, kong api, axway api, Consulting, Amtrix, API"
"Jenkins, Python Developer, AWS, Django, Python Development, Python, Development"
"SAP ABAP, Smartforms, OO ABAP, SAP, Consulting, Abap"
"Ab Initio, Unix, Oracle, Teradata, Ab, Initio, Development"
"HILS, DSpace, plant model, Scalexio, Simulink, Matlab, Modeling, Plant"
"RESTful web services, Springboot, AWS, Web services, Development, Rest, Restful Web, Spring Boot"
"Amazon Aurora, Database Architect, Database, Database Development, AWS, Development, Senior, Architecture"
"db2, DB2 LUW, Luw, Database administration, DBMS, Db Dba, Administration"
"Oracle DBA, Golden Gate, Oracle RAC, Oracle database, Database administration, Oracle, Administration, DBMS"
"GenAI, Artificial Intelligence, Machine Learning, Deep Learning, Tensorflow, Pytorch, Huggingface, generative AI"
"Risk Rating, Credit Analysis, Credit Rating, Credit Research, Annual Review, Credit Appraisal, Credit Risk Management, Credit Review"
"Dynamics 365 F&O, D365, X++, O, Microsoft Dynamics, Dynamics, F#, Microsoft"
"Snowflake, Data Bricks, SQL, Data Engineering, Management, Assistance, Bricks, Data"
"Java Architecture, Java, Spring Boot, Architecture, Spring, Boot"
"DB2, DB2 LUW, Luw, Database administration, DBMS, Db Dba"
"DB2 LUW, DB2, DBMS, Consulting, Luw"
"Docker, Kubernetes Administration, Kubernetes, Consulting, Administration"
"KONG API, DOCKERS, Kubernetes, Docker, Kong, API, Team, Administration"
"Java, Git, JavaScript, J2EE, JSON, RESTful APIs, JAX-RS, GitLab"
"Oracle Database, Postgresql, Oracle, Technology consulting, Technology, Consulting, Oracle DBA, L2"
"Linux Administration, Telecom, Linux, Technology, Administration"
"Angularjs, GCP SQL, GCP, Google Cloud Platforms, Java, Elk, Spring, Microservices"
"Fortigate Firewall, Network Security, Palo Alto Firewall, Firewall, Fortigate, Networking, Network engineering, Security"
"Datastage, Datastage Etl, Etl Datastage, ETL, Development, Datastage Administration"
"Aws Cloud, Microsoft Azure, AWS, Microsoft, Cloud, Technology, Awsazure"
"SAP Fiori, SAP Workflow, ABAP, SAP, Workflow, Hiring"
"Cloud Platform Integration, SAP CPI, SAP Cloud Platforms, Cloud Platforms, Cpi, Cloud, Saps, SAP"
"SCP, SAP BTP, BTP, SAP, Hiring"
"WAS Administration, IBM WAS ADMIN, REDHAT JWS, Ansible, Redhat Linux, Administration"
"Data bricks, Microsoft Azure Data Factory, ADLS, DevOps and database solutions, PySpark, Spark SQL., Python, Data"
"Performance Metrics, Servicenow Tool, Reporting, Risk Management, Management, Performance, Tools, Servicenow"
"Servicenow, ITSM, Javascript, ITIL, Development, Servicenow Development"
"sap, sap presales, troubleshooting, sap mm, sap warehouse management, sap sd, business analysis, presales"
"Site Reliability Engineering, Golang, Azure, Docker, GCP, SRE, AWS, Kubernetes"
"Artificial Intelligence, Machine Learning, Python, Development, Machine, Ml, Intelligence"
"Forensic Investigations, Due Diligence, Corporate, Investigation, Fraud Investigation, Research, Management, Investigations"
"Pyspark, Python, SQL, Data analysis, Data"
"Test Automation Framework, C++, Embedded, Software, Automation, Development, Automation testing, Framework"
"HDL, Fast Formulas, Hcm Extracts, Technical, Cloud, Consulting, Cloud HCM, Formulas"
"confluence, service management, sql, servicenow, jira, vendor management, project management, program management"
"python, hadoop administration, software engineering, hadoop, flask, rest, css, version control"
"Product management, Performance tuning, Application packaging, Automation, Coding, Debugging, SQLite, Agile"
"Product management, Performance tuning, Automation, windows internals, Coding, Analytical, Agile, Packaging"
"Node.Js, REST API, Containerization, Cloud, microservices architecture, Javascript, Kubernates, Microservices"
"Power Platform, Power Apps Development, Powerapps, Microsoft Power Automate, Application, Microsoft, Development"
"Solar Energy, Solar Project, Project, Energy, Solar, Quality, Quality engineering"
"DevOps, AWS, Python, Jenkins, Airflow, Terraform, EMR, Azure DevOps"
"Banking Domain, Automation, API, Selenium, Automation testing, Software testing, DNS"
"Servicenow, XML, GRC, HRSD, HTML, JAVA Scrip, CSM, ITIL"
"Servicenow, XML, GRC, HRSD, HTML, JAVA Scrip, CSM, ITIL"
"Servicenow, XML, GRC, HRSD, HTML, JAVA Scrip, CSM, ITIL"
"data analysis, program management, talent management, leadership development, agile, behavioural training, training, organizational development"
"project management, mitigation, risk mitigation, project / program management, delivery operations, risk management, operations management, business leadership"
"software development, software testing, java, full stack, debugging, css, python, c++"
"MES Modeller, Critical Manufacturing, MES, Modeling, Modeler, Architecture, Critical care, Manufacturing"
"Full Stack, Thingworx, MES, Ptc Thingworx, Stack, Development, PTC"
"MES, Apriso 2019, Apriso, Architecture"
"Software Development Life Cycle, Banking, API Testing, Automation Testing, Backend Testing, Middleware, Software testing, Life cycle"
"Acquisition, DSA, Acquisition Sales, Sales Management, Business Development, Open Market, Sales, Development"
"GEN AI, Data Science, Cloud, Machine Learning, Deep Learning, NLP, Python, Data"
"Java, Postgres DB, Front End, Scrum, Springboot, Oracle, Java FSD, VueJS"
"Salesforce, Sfdc Development, SFDC, Lighting, Lightning, Lwc, Triggers, Salesforce Lightning"
"CATIA, Automotive Design, Design, Automotive, Leadership"
"SQL, Excel, Confluence, Agile, JIRA, Business analysis"
"Linux Administration, Kubernetes Administration, Ci/Cd, Iac Tools, Kubernetes, Cd, Linux, Devops"
"Java, Spring Boot, J2Ee, Microservices, Pan, Development, Spring, Java Development"
"Automation Testing, Selenium Testing, Automation Selenium, Rest Api Testing, Automation Framework, Selenium Automation, Java Selenium"
"python, ceph storage, performance testing, ibm storage, rbd, kubernetes, microsoft azure, test scripts"
"javascript, react.js, angular, web development, html, css, software development, web application"
"Portfolio Management, Public Cloud, Solution Architect, Portfolio Architect, Cloud Infrastructure, Transformation, Cloud, Architecture"
"Java Spring Boot, Java Programming, Java Development, Spring Boot, Java Fullstack, Core Java Development, Programming, Full Stack"
"Postgresql, Oracle DBA, Postgresql Database Administration, Database administration, DBMS, Oracle, Administration"
"Machine Learning, AWS, Python, Machine, Ml"
"Pyspark, Azure, GCP, Mlops, AWS, Big Data, Data, Microsoft Azure"
"Data Science, Data Mining, Statistics, Machine Learning, Predictive Analytics, Data, Science, Predictive"
"GStreamer, Yocto, Embedded Linux, C++, C, Multimedia Framework, Audio, Development"
"DB2, Cobol, Application Development, Pyspark, JCL, CICS, IMS, Development"
"Java, Spark, Big Data, Impala, Spark Programming, Data, Architecture"
".Net, CRM, Plugins, MS Dynamics CRM, Microsoft"
"ML model deployment, GCP, Vertex AI, ML engineer, Python, Kubeflow, Google Kubernate Engine, Google"
"STB, C++, Yocto, Linux, RDKV, Architecture, Video"
"java, cloud, angular, GCP, Spring Boot, react, Spring, Microservices"
"Java, Microservices, AWS, Github, Kafka, Spring Boot, Ci/Cd, Technical Leadership"
"SFDC, Salesforce, Sales Force Development, Salesforce Sales Cloud, Lightning, Service Cloud, Lwc, Triggers"
"Linux, Device Drivers, Bootloader, Yocto, Board Bringup, Kernel, Bsp, Buildroot"
"AUTOSAR, Autosar Development, Mcal, Embedded Development, Automotive, Embedded systems, Development"
"Electrical Maintenance, Plumbing, HVAC, Utility Maintenance, Fire Fighting, Management, Maintenance, Fire"
".Net Core, Node.Js, React.Js, Angular, Development, .Net, DoT, Core"
"Loan sales, Auto Loans, used car loan, Commercial Vehicle Loans, field sales, Car loan sales, Sales, Vehicle Finance"
"Middle Office, Trade Capture, Trade Booking, Derivatives, Office, Trade, Trading, Transaction analysis"
"mainframe admin, Cics, cics admin, Mainframes, System administration, Administration, System"
"Servicenow, ITSM, Servicenow Development, Development"
"STB, Webkit, C++, Ott, Development"
"Media, RDKV, DRM, Ott, Triage"
"STB, Media, Ott, RDKB, Broadband, RDK, Architecture"
"SAP SD, SAP SD Enquiry, Price routines, SD, SAP, Saps, Pricing, Hiring"
"Angular Development, angular, UI Development, UI, Development"
"Sap Hybris, Hybris, Hybris Development, Hybris Commerce, Development, SAP"
"Security Architect, Information Security, Saas security, Enterprise Architect, Cloud Architect, Security, Security Engineering, SAAS"
"Corporate Sales, Corporate Selling, New Client Acquisition, B2B Sales, Enterprise Sales, Management, Selling, B2B"
"information technology, access management, identity access management, iam, failover, cyberark, cyber security, network security"
"event management, splunk es, security engineering, splunk enterprise security, siem, security operations, information technology, splunk security information and event management"
"information technology, access management, identity access management, iam, failover, cyberark, cyber security, network security"
"event management, information technology, siem, data mapping, splunk, iso, ceh, information security"
"continuous integration, ceph storage, performance testing, openshift, ci/cd, kubernetes, python, github"
"RRC, lte protocols, NAS, C++, C, Physical Layer, Layer 2, 3Gpp"
"LTE, 5G, C++, C, PDCP, L2, L3, RLC"
"Telecom Infrastructure, Business Development, Optical Fiber, OFC, sales and operation, Telecom, Operation Maintenance, B2B Sales"
"Flutter, GIT, iOS, Webpack, Dart, Android, Io"
"Consumer Sales, electronics, consumer electronics, customer management, channel sales, sales growth, sales strategy, business development"
"Training, Due diligence, Corporate governance, CMA, Client relationship, IFRS, Auditing, Statutory"
"software testing, technical automation, government sales, sales, supply chain management, product documentation, mcitp, industrial sales"
"project management, pardot, account based marketing, salesforce marketing cloud, sfmc, customer engagement, business development, marketing management"
"Manager Quality Assurance, Testing tools, Functional testing, Test management, Analytical, Agile, Regression testing, Selenium"
"Leadership development, Business analysis, International taxation, Risk management, Operations, Corporate taxation, Financial services, Private equity"
"Data Scientist, Regression, Clustering, Machine Learning, Python, R, Decision Tree, Scala"
"1120, us tax, us taxation, 1065, 1120s, Scouting, SR, Taxation"
"Housing Loan, Home Loans, Mortgage Loans, Connectors, Housing Finance, Loan Against Property, DSA, HL"
"Web Api, .Net, WCF, .Net Core, Asp.Net Core, Ci/Cd, SQL Server, Continuous Integration"
"Communication Skills, Presentation Skills, Planning Skills, Idea Generation, Convincing Power, Leadership Skills, Investment, Idea"
"Jira Admin, ACP 300 Certified, Certified JIRA administrator, Acp, JIRA, Certified, Administration"
"Cyber Security, trend micro, endpoint security, network security, osi, firewall, fortinet, networking"
"SAP Cloud Analytics, Sap Analytics Cloud, Sap Cloud, Analytics Cloud, Cloud, Analytics, SAP, Saps"
"Sap Vistex, SAP Vistex consultant, Vistex Consultant, Vistex, V4, CMM, Saps, SAP"
"Financial Planning And Analysis, Budgeting, Forecasting, Variance Analysis, Finance, Management, Business Finance, Financial planning"
"Industry knowledge, Presentation Skills, Sales Strategy, customer Focus, Strategic Thinking, Adaptability, Leasdership, communication"
"Technical Sales, Field Service, Sales And Service, Equipment Sales, Service Engineering, Industrial Sales, Industrial, Sales"
"Team Handling, Key Account Planning & Management, Commercial Acumen, Strategic Planning, Stakeholder Management, Business management, Team, Accounting"
"Digital Sales, ad sales, Digital Advertising, Ad Space Selling, Sales, Digital, Accounting, Media"
"C#, .NET, Angular, AZURE, Typescript, Microsoft Azure, Full Stack, Development"
"cluster, Shell Scripting, Infrastructure, thingsworxs, Windchill, Clustering, Scripting, Consulting"
"spring boot, java, React.Js, spring, Rest, Microservices, Stack, Bootstrap"
"Project Management, Agile, Scrum, Windchill, Technical, Project, Management"
"Sales, Team Handling, Life Insurance, Health Insurance, Team, Hiring, Health, Handling"
"Privileged Access Management, BeyondTrust Password Safe, Pam, Beyondtrust, Beyond Trust, Cyberark, PAM Engineer, PAM tools"
"trading, electronics, inventory control, dispatch, logistics, retail sales, accounting, inventory"
"accounts payable, procurement operations, invoice processing, procure to pay, procurement, strategic sourcing, purchase, purchase order"
"content management, research, moderation, qualitative research, stress analysis, c++, market research, proof reading"
"healthcare operations, business solutions, claims processing, claims, pricing, operations management, project management, healthcare management"
"gujarati, bengali, data entry, internet, email, erp, project management, sap"
"digital marketing, content review, moderation, social media marketing, qualitative research, c++, market research, content management"
"erp, sap, bengali, business analysis, dbms, project management, workday, xml"
"Hospitality, business opportunity, Sales Assoiate, Event management, Group sales, Customer servie, Business orrespondene, Adistration"
"Due diligence, Dispute resolution, Income tax, Networking, Business analysis, Risk assessment, Analytical, Cash flow"
"IT Audit, SOX Compliance, Cisa, IT Security, Auditing, SOX, Infosec, Security"
"Customer Service, Inbound Voice Process, Cce, Customer Care, Voice process, Process, Voice, Inbound"
"css, jsp, jdbc, hibernate, apache tomcat, microservices, sql, docker"
"OTC, Pharma Selling, OTC pharma, OTC sales, Pharma Marketing, OTC Products, Pharmaceutical Sales, Sales"
"management consulting, project management, energy audit, sales, energy management, solar energy, energy accounting, electrical engineering"
"Calling, Outbound, Sales Process, Telesales, Bpo Sales, Banking Sales, Process, Sales executive activities"
"Biochemistry, Pathology, Clinical Chemistry, Hematology, Clinical Pathology, Chemistry, Clinical, Time"
"English, Inbound Process, BPO, Customer Service, Email, Calling, Outbound Process, asap"
"Sitecore, Jss, Sitecore Development, Development"
"Java Spring Boot, Microservices, J2Ee, Java Development, Spring, Development, Java, Spring Boot"
"Uipath, Rpa Ui Path, Robotic Process Automation, Process automation, Process, Robotic Process, Rpa, UI"
"Pega Decisioning, Pega Development, Pega, Pan, TCAE, Development, Hiring"
"personal training, physical education, dancing, sports, fitness training, physiotherapy, yoga, exercise"
"repair, production, preventive maintenance, maintenance engineering, equipment, mechanical, pumps, plant operations"
"Business advisory services, Financial statements, Leadership development, Income tax, Accounting, Book Keeping, Tax reporting, Management"
"Power Platform, power automate, Ai Builder, SME, Powerapps, Portal, power virtual agent, Development"
"Security Testing, Burp Suite, Automation, Manual, Metasploit, Senior, Software testing, Security"
"Property And Casualty Insurance, Claim Center, Guidewire, Casualty, Center, Business analysis, Insurance, Claims"
"C#, Azure, ASP.Net, Angular, Software, Management, Microsoft Azure"
"python, gpm, scikit-learn, jupyter notebook, machine learning, algorithms, transformers, natural language processing"
"css, rexx, dbms, ibm utilities, ims db, sql, stored procedures, tso"
"Networking, cyber security, Manager Technology, Design development, Product design, Hardware, Principal, Management"
"Ltm, Load Balancing, Network Administration, F5, Load, Administration, Balance, Networking"
"Inside Sales, B2B Sales, US Market, Lead Generation, Cold Calling, Prospecting, Calling, Accounting"
"Servicenow, Automation Engineering, Java, Developer Tools, Process Automation, Coding, Workflow, GUI"
"Aws Cloudformation, AWS, AWS CDK, Architecture, Amazon Vpc"
"Power apps, Power Automate, Automate workflows, Microsoft, 365 development u, Development, Application, Workflow analysis"
"SUSE, Linux, Server Management, LVM, Linux OS, GCP, GRUB, AWS"
"Java, Spring, Java Spring Boot, Java Fullstack, React.Js, Angular, Stack, Full Stack"
"Angularjs, Mean Stack, MongoDB, Node.Js, Development, Stack, Mean Stack Development, Mean"
"Life Science, Biotechnology, MBBS, BYNS, Microbiology, Zoology, GNM, BPT"
"Embedded C, ARM, Linux Kernel, Embedded systems, C, Kernel, Linux, Development"
"kinaxis, R2R, Supply Chain Planning, Supply planning, TCAE, Hiring, Planning, Consulting"
"Siebel, Siebel EAI, Siebel Configuration, TCAE, EAI, Configuration, Hiring, Development"
"mulesoft anypoint, mulesoft anypoint platform, tibco, java, mule esb, rest, oracle, soa"
"vmware, ci management, operating systems, networking protocols, aws, dns, microsoft azure, networking"
"Unix shell sripting, Tehnology solutions, Information tehnology, Manager Tehnology, GCP, Equity, big data, SQL"
"Computer science, Managed services, Front end, Coding, MySQL, HTML, Troubleshooting, Continuous improvement"
"Leadership development, Usage, Managed services, Manager Technology, Management, Operations, Advisory, React.js"
"Ticketing, Supply chain management, Change management, ERP, Contract management, Project management, Risk management, Technical support"
"Internal Audit, Control testing, Operational Risk, Testing and Validation., Risk Assessment, Regulatory audit, Compliance audit, Risk Management"
"GCP, Bigquery, SQL, Pubsub, Data Flow, Dataproc, Ms Sql Database, Microsoft"
"Citrix Migrations, Citrix Xenapp, NetScaler, Active Directory policies  VMware basics, VMware Vsphere, XenApp, Policies, Server administration"
"Angular Development, Angularjs, CSS, Javascript, HTML, Angular Material, Development, Materials"
"regional trainer, senior trainer, hair trainer, skin trainer, makeup trainer, Hair care, Senior, Regional"
"Punjabi, Bengali, fresher, Content, Languages, Content Review, Can Bus, Hiring"
"Trade Settlement, stock reconciliation, Trade Reconciliation, Transaction Reporting, Trade Investigation, Reporting, Settlements, Clearing"
"Oracle Apps Technical, Oracle Financials, Technical Support, PLSQL, Oracle E-business Suite, Webadi, Accounts Receivable, Accounts Payable"
"IT Helpdesk, Techical Support, Excellent Commuication, IT, Helpdesk, Senior"
"A360, Automation Anywhere, Robotics Process Automation development, Process automation, Development, Process, Automation engineering, Automation"
"AWS DB SME, RDS administration, MS SQL Server databases and Oracle databases, Oracle, SME, MS SQL Serve, Server, Microsoft"
"Physician, Nuclear Medicine, Nuclear Engineering, Medicine"
"PLSQL, Plsql Query, Plsql Development, Plsql Programming, Development, Program, Query, Programming"
"Informatica, Etl Development, Informatica Development, ETL, Drives, Development"
"Datastage, Datastage Etl, ETL Tool, Drives, Development, ETL, Tools"
"Sourcing Profiles, Job Portals, Interview Coordination, Interview Scheduling, Recruitment, Payroll, Sourcing, Coordination"
"Nursing Learning  and Development, Nursing Strategy and Nursing Quality, Hospital Administration, Supervision, Stakeholder Management, Patient Care, Nursing Administration, Hospital Operations"
"test automation, mainframes, functional testing, test engineering, node.js, cobol, selenium, automation testing"
"python, documentation, artificial intelligence, java, devops, continuous integration, operating systems, ci/cd"
"c++, aix, linux, hardware development, python, written and oral communication, ios, sql"
"python, continuum, documentation, golang, java, continuous integration, operating systems, ci/cd"
"react.js, mern stack, react native, angular, mean, redux, fullstack development, css"
"finance reporting, hro, management reporting, change management, central finance, client engagement, back office, accounting"
"rest, android, android application development, integration testing, android ui design, performance tuning, unit testing, offline storage"
"salesforce lightning, service cloud, salesforce sales cloud, vlocity, lwc, visualforce, software development, sfdc"
"aws iam, sre, operating systems, dbms, aws cloud, public cloud, ibm cloud, redhat linux"
"proof reading, aix, git, dita xml, markdown, technical writing, github, confluence"
"git repository, git, linux, perl, python, continuous integration, css, web services"
"project management, sap, sap s hana, people management skills, financial management, sap project management, client engagement, program management"
"vlsi design, memory design, linux, digital electronics, characterization, cmos, design verification, lvs"
"sap, software testing, sap s hana, technical consulting, sap hana, fi, ecc, sap module"
"case management, java, scrum, pega, agile, pega prpc, visualforce, software testing"
"continuous integration, devops, vios, ewm, agile, power system, regression testing, lpar"
"sap, software testing, sap s hana, technical consulting, sap hana, fi, ecc, sap module"
"java, zos, software development, operating systems, testing methodologies, continuous integration, c++, rexx"
"cds views, sap abap hana, adobe, odata, amdp, sap, abap development, aws core services"
"jquery, linux, rest, configuring, soap, css, web services, cyberark"
"git repository, axi, linux, ahb, functional verification, continuous integration, soc verification, ace"
"Java, Maven, REST API, Hibernate, Git, Design patterns, J2EE, Spring boot"
"Business Continuity Management, team management, team leadership, Data Insights, Data warehousing, Warehouse, Business continuity, Team"
"sap, posdm, sap retail, sap is-retail, project planning, master data, sap sd, logistics"
"data engineering, java, data science, microprocessors, statistics, algorithms, python, natural language processing"
"maven, javascript, application server, java, j2ee, automation framework, rest, continuous integration"
"coding, react.js, java, jenkins, debugging, css, hibernate, jquery"
"sap portal, application development, design patterns, sap fiori, sapui5, css, sap cloud platform mobile services, sap"
"python, kvm, linux, shell scripting, performance analysis, load runner, mainframes, performance testing"
"git repository, git, linux, perl, system verilog, continuous integration, c++, web services"
"data migration, mdf, sap success factor, workflow analysis, api, visualforce, software testing, sfdc"
"blended learning, application development, content development, hybrid cloud, linux, storyboarding, articulate storyline, redhat linux"
"data management, market research, change management, talent acquisition, recruitment, shortlisting, head hunting, screening"
"git repository, git, linux, perl, python, continuous integration, soc verification, c++"
"data management, market research, sourcer, change management, recruitment, shortlisting, head hunting, screening"
"react.js, mern stack, react native, angular, mean, redux, fullstack development, css"
"alm, software development life cycle, java, agile, sdlc, project management, data analysis, data management"
"python, machine learning, artificial intelligence, matplotlib, flask, github, natural language processing, scikit-learn"
"python, docker, linux, debugging, performance analysis, continuous integration, c++, software development"
"sap netweaver, ricef, ale, abap, idoc, sap fin co, accounts receivable, accounts payable"
"sap bods, sap data services, bois, sdi, sap hana, data services, sap, software testing"
"c++, artificial intelligence, java, python, aiml, kubernetes, continuous integration, css"
"Salesforce, lightning, frontend development, front end, css, GitHub, Code quality tools, SASS"
"Semicon market trends, global supply chains, marketing, business leadership, selling, business growth, sales, Supply chain"
"data privacy, TrustArc, Collibra, compliance management, data processing, information security, BigID, OneTrust"
"Tibco, artifactory, rest, adb adapter, adapters, maven, jenkins, soap ui"
"Master Data Management, data analysis, Quality Analyst, Data Governance framework, Data Quality strategy, quality analysis, data quality, IDQ"
"Accounting, TDS, GST, Financial Planning, income tax, Budgeting, Forecasting, Financial Management"
"data Analysis, SNOW, relationship management, advanced excel, Project management, customer service, power bi, ITIL process"
"DevOps, RFPs, it architecture, solution design, design development, System integrator, Technical planning, Requests For Proposal"
"financial analysis, accounting, bank accounting, r2r, record to report, erp, accounts payable, sap"
"continuous integration, git repository, linux, perl, python, soc verification, c++, soc"
"kubernetes, python, openshift, gcp, debugging, continuous integration, redhat linux, ci/cd"
"event management, paas, iaas, agile, jira, project management, enterprise architecture, redhat linux"
"github, xml, devops, agile software development life cycle, dita, c#, tfs, web services"
"kubernetes, docker, ansible, travis ci, jenkins, web services, logdna, openshift"
"relational databases, web ui, java, people management skills, JavaScript, websphere, continuous integration, rest"
"unit testing, software packages, user acceptance testing, sap hana, sap plm, application software, sap, software testing"
"genesys, project management, ux, web services, ivr, configuration, user interface designing, microsoft dynamics"
"risk management, project management, cloud security, iso, cyber security, data security, soc, information security"
"ledger, accounts receivable, accounts payable, balance sheet, tds, invoice processing, auditing, accounting"
"Agile, data privacy, Visual Studio, Customer service, Service marketing, Customer engagement, Financial services, SQL"
"Cloud computing, Sales, Business analysis, Business solutions, Customer engagement, consumer goods, Business case, digital transformation"
"RTOS, C++, RF, Development Manager, FPGA, Analog, SOC, Packaging"
"Performance tuning, Data migration, Application testing, Infrastructure design, Database administration, Database, Analyst II, SQL Server dba"
"Analytical skills, Ticketing, Payroll, Service level, SAP, query, Data quality, HR"
"Automation, Business reporting, Reconciliation, Agile, Customer support, Medical insurance, Stakeholder management, Operations"
"Content strategy, Data analysis, BI Analyst, Pharma, CMS, Healthcare, Digital marketing, SEO"
"VHDL, ASIC, USB, SOC, RTL coding, Verilog, System verilog, PCIE"
"Training, MIS reporting, audio visual, Leadership development, Bloomberg, Diversity and Inclusion, Project management, Manager Technology"
"Quality standards, PDF, Project management, Management, Monitoring, Quality management, Quality, Project"
"Business process, Process design, Stakeholder Engagement, Data analysis, Change management, Compliance, Business analysis, Anti money laundering"
"Process automation, Telecom, Bss, Business analysis, Lead Business Analyst, XML, Agile, Test planning"
"Assurance, Pharmacy, Packaging, Healthcare, clinical pharmacology, Competitive intelligence, Pharmacovigilance, GMP"
"Product management, Data analysis, Direct marketing, Pharma, Analytical, Market research, Healthcare, Econometrics"
"Graphics, Business services, Brand management, Illustrator, Project management, Social media, Healthcare, Photoshop"
"Global marketing, Brand management, Cardiovascular, Project management, Pharma, Healthcare, Life sciences, Forecasting"
"Pyramid, Django, Python, Flask, Digital"
"PMI certification, operations manager, advanced user of excel in terms of tools, Operations Management, Certified, Program management, Program, Operations"
"Housekeeping Management, Pantry, Building Maintenance, Facility Management, Cafeteria Management, Facilities, Housekeeping, Maintenance"
"car evaluation, Evaluation, service advisor, body shop, Automobile, Car Service, Automobile Service, car inspection"
"Network Engineering, Azure, Router, TSP, Ccie, OSI, Cissp, CCNP"
"Redhat Linux, Azure, Linux System Administration, Linux Administration, Linux Server, Grafanna, Redhat Satellite, System administration"
"contract management, tendering, legal research, project management, legal documentation, purchase, agreements, contracts"
"Retail Sales, DSA, Lap Loans, Secured Loan, Mortgage Sales, Loan Against Property, Sales, Mortgage"
"continuous integration, web services, ci/cd, microservices patterns, hibernate, microservices, docker, spring"
"corporate tax, International Taxation, FEMA, business tax, Direct Tax, mergers and acquisition tax, Advisory, Regulatory Compliance"
"Corporate Taxation, International Taxation, business tax, Tax Returns, Direct Tax, FEMA Matters, Tax Litigation, Regulatory Compliance"
"Data Engineer, Azure Databricks, Data Lake, Pyspark, Data Engineering, Jupyter Notebook, Python, SQL"
"Docker, Power Bi, Google Cloud Services, AWS, Azure Cloud, Bi, Microsoft Azure, Development"
"sap, sap fi, application development, sap fico, sap integration, c#, sap upgrade, data validation"
"digital strategy, growth strategy, strategy consulting, market assessment, process transformation, management consulting, project management, business strategy"
"software testing, unit testing, sap knowledge, planning management, user acceptance testing, sap upgrade, sap, fi"
"ibm bpm, xml, linux, configuring, troubleshooting, css, cyberark, production"
"python, research, tensorflow, advocacy, pytorch, c++, natural language processing, scikit-learn"
"javascript, coding, typescript, graphql, object oriented javascript, nextjs, algorithms, css"
"sap security, sap s hana, grc, sap grc, agile, ecc, brownfield, bi"
"web services, groovy scripting, java, xml, xslt, continuous integration, biztalk, sap netweaver"
"software development life cycle, irb, mq, presentation skills, troubleshooting, ace, c++, ms dynamics crm"
"android, mvvm, java design patterns, advanced embedded, system engineering, continuous integration, porting, c++"
"salesforce platform, salesforce lightning, web development, agile, soap, rest, visualforce, css"
"sap security, sap s hana, grc, sap grc, agile, ecc, brownfield, bi"
"risk compliance, internal control, compliance analysis, enterprise risk management, sox, risk management, aml, risk assessment"
"networking, zos, operating systems, vm, troubleshooting, rexx, dbms, sales"
"net fullstack, software development, cloud technologies, sql server, software engineering, c#, project management, oracle"
"software development, software testing, azure paas, microsoft azure, cognitive, c#, kubernetes, python"
"python, data engineering, database administration, sql, application development, hive, oracle, data analysis"
"software development, hibernate, kafka, j2ee, agile, oracle, jsp, java collections"
"system administration, technical support, it operations, desktop management, microsoft windows, antivirus management, server management, networking"
"event management, paas, iaas, agile, jira, project management, enterprise architecture, redhat linux"
"sap, application development, sap pp, production planning, technical documentation, fico, project management, gap analysis"
"svn, javascript, node, node.js, postgresql, version control, unit testing, application development"
"sap business objects data services, sap bw, etl, data integration, etl process, sap bobj, data services, sap"
"project management, oracle, field service, waterfall, agile, iso, quality control, team management"
"dbms, box, sfdc, http, sftp, css, workday, xml json"
"customer service, insurance operations, process documentation, client support, customer experience, defined benefits, operations management, project management"
"java fullstack, software development life cycle, java, sdlc, agile methodology, rest, oracle, web services"
"ledger, r3, corda, blockchain, smart contracts, algorithms, kubernetes, continuous integration"
"tosca testsuite, performance testing, testing methodologies, software engineering, agile methodology, tosca, software testing, regression testing"
"eclipse, odata, sap abap development, sap hana, sap abap, rest, css, sap"
"software development, performance testing, javascript, react.js, git, redux, version control, unit testing"
"sap, sap cloud platform, authorization, sap web ide, api, rest, css, api management"
"python, software development, software testing, numpy, testing methodologies, project management, unit testing, nosql"
"sap, information technology, sap security, system architecture, sap basis administration, oracle, performance tuning, sap configuration"
